,Date,output
664,2022-09-01,1
665,2022-09-02,0
666,2022-09-03,1
667,2022-09-05,1
668,2022-09-06,1
669,2022-09-07,1
670,2022-09-08,1
671,2022-09-09,1
672,2022-09-11,1
673,2022-09-12,1
674,2022-09-13,1
675,2022-09-14,0
676,2022-09-15,1
677,2022-09-16,1
678,2022-09-17,1
679,2022-09-18,1
680,2022-09-19,1
681,2022-09-21,0
682,2022-09-23,1
683,2022-09-24,0
684,2022-09-25,1
685,2022-09-26,1
686,2022-09-27,0
687,2022-09-29,0
688,2022-09-30,0
689,2022-10-01,2
690,2022-10-03,1
691,2022-10-04,1
692,2022-10-05,2
693,2022-10-06,1
694,2022-10-08,1
695,2022-10-09,1
696,2022-10-10,1
697,2022-10-11,0
698,2022-10-12,1
699,2022-10-13,1
700,2022-10-15,2
701,2022-10-17,1
702,2022-10-18,1
703,2022-10-19,1
704,2022-10-20,1
705,2022-10-21,1
706,2022-10-22,0
707,2022-10-23,1
708,2022-10-24,1
709,2022-10-25,1
710,2022-10-26,2
711,2022-10-27,1
712,2022-10-28,1
713,2022-10-29,2
714,2022-10-30,1
715,2022-10-31,1
716,2022-11-01,2
717,2022-11-02,1
718,2022-11-03,1
719,2022-11-04,1
720,2022-11-05,1
721,2022-11-06,1
722,2022-11-10,1
723,2022-11-11,1
724,2022-11-12,2
725,2022-11-13,2
726,2022-11-14,1
727,2022-11-15,2
728,2022-11-16,2
729,2022-11-17,2
730,2022-11-18,1
731,2022-11-19,2
732,2022-11-23,1
733,2022-11-25,1
734,2022-11-26,1
735,2022-11-27,1
736,2022-11-28,1
737,2022-11-29,2
738,2022-11-30,2
739,2022-12-01,1
740,2022-12-02,2
741,2022-12-03,0
742,2022-12-05,1
743,2022-12-06,1
744,2022-12-07,1
745,2022-12-08,1
746,2022-12-09,0
747,2022-12-10,1
748,2022-12-11,1
749,2022-12-13,2
750,2022-12-14,2
751,2022-12-15,1
752,2022-12-16,1
753,2022-12-17,1
754,2022-12-19,1
755,2022-12-20,1
756,2022-12-21,1
757,2022-12-22,1
758,2022-12-23,1
759,2022-12-24,1
760,2022-12-25,1
761,2022-12-26,1
762,2022-12-27,1
763,2022-12-28,2
764,2022-12-29,2
765,2022-12-30,1
766,2023-01-01,1
767,2023-01-03,2
768,2023-01-04,1
769,2023-01-05,1
770,2023-01-06,1
771,2023-01-07,1
772,2023-01-09,2
773,2023-01-10,1
774,2023-01-11,0
775,2023-01-13,1
776,2023-01-15,1
777,2023-01-16,1
778,2023-01-17,1
779,2023-01-18,1
780,2023-01-20,2
781,2023-01-23,1
782,2023-01-24,1
783,2023-01-26,0
784,2023-01-27,0
785,2023-01-28,1
786,2023-01-30,1
787,2023-01-31,2
788,2023-02-01,1
789,2023-02-02,1
790,2023-02-03,1
791,2023-02-04,2
792,2023-02-05,1
793,2023-02-06,1
794,2023-02-07,1
795,2023-02-08,1
796,2023-02-10,1
797,2023-02-11,1
798,2023-02-13,1
799,2023-02-14,0
800,2023-02-15,1
801,2023-02-16,1
802,2023-02-17,1
803,2023-02-18,1
804,2023-02-19,1
805,2023-02-21,1
806,2023-02-22,1
807,2023-02-23,0
808,2023-02-24,1
809,2023-02-25,1
810,2023-02-27,1
811,2023-02-28,1
812,2023-03-01,1
813,2023-03-02,2
814,2023-03-03,1
815,2023-03-04,2
816,2023-03-05,1
817,2023-03-06,2
818,2023-03-07,1
819,2023-03-08,1
820,2023-03-11,1
821,2023-03-12,1
822,2023-03-13,1
823,2023-03-14,0
824,2023-03-15,0
825,2023-03-16,1
826,2023-03-17,2
827,2023-03-20,1
828,2023-03-21,0
829,2023-03-22,0
830,2023-03-23,1
831,2023-03-25,0
832,2023-03-28,1
833,2023-03-29,1
834,2023-03-30,2
835,2023-04-01,2
836,2023-04-03,1
837,2023-04-06,1
838,2023-04-07,1
839,2023-04-09,1
840,2023-04-12,1
841,2023-04-13,2
842,2023-04-14,1
843,2023-04-16,1
844,2023-04-18,0
845,2023-04-19,1
846,2023-04-20,1
847,2023-04-21,1
848,2023-04-22,1
849,2023-04-24,1
850,2023-04-25,1
851,2023-04-26,1
852,2023-04-27,1
853,2023-04-28,0
854,2023-04-29,2
855,2023-05-03,0
856,2023-05-06,0
857,2023-05-07,1
858,2023-05-08,1
859,2023-05-09,2
860,2023-05-10,1
861,2023-05-11,2
862,2023-05-12,2
863,2023-05-15,2
864,2023-05-16,2
865,2023-05-17,2
866,2023-05-18,1
867,2023-05-20,1
868,2023-05-21,1
869,2023-05-23,1
870,2023-05-26,1
871,2023-05-29,1
872,2023-05-30,2
873,2023-05-31,1
874,2023-06-03,1
875,2023-06-04,1
876,2023-06-05,2
877,2023-06-06,1
878,2023-06-07,1
879,2023-06-09,2
880,2023-06-11,1
881,2023-06-12,1
882,2023-06-13,1
883,2023-06-14,1
884,2023-06-15,1
885,2023-06-16,1
886,2023-06-17,2
887,2023-06-19,2
888,2023-06-20,1
889,2023-06-22,2
890,2023-06-24,1
891,2023-06-25,1
892,2023-06-27,1
893,2023-06-29,2
894,2023-06-30,1
895,2023-07-01,1
896,2023-07-03,2
897,2023-07-04,2
898,2023-07-05,1
899,2023-07-06,1
900,2023-07-07,2
901,2023-07-08,0
902,2023-07-09,1
903,2023-07-10,1
904,2023-07-11,1
905,2023-07-12,1
906,2023-07-13,2
907,2023-07-14,2
908,2023-07-15,2
909,2023-07-17,1
910,2023-07-18,1
911,2023-07-19,1
912,2023-07-20,2
913,2023-07-21,0
914,2023-07-22,0
915,2023-07-23,1
916,2023-07-24,1
917,2023-07-25,1
918,2023-07-26,2
919,2023-07-27,2
920,2023-07-28,2
921,2023-07-29,1
922,2023-07-30,2
923,2023-07-31,1
924,2023-08-01,1
925,2023-08-02,0
926,2023-08-03,0
927,2023-08-05,0
928,2023-08-06,1
929,2023-08-07,2
930,2023-08-08,2
931,2023-08-09,1
932,2023-08-10,2
933,2023-08-11,1
934,2023-08-12,1
935,2023-08-13,1
936,2023-08-15,1
937,2023-08-16,0
938,2023-08-18,0
939,2023-08-20,2
940,2023-08-21,1
941,2023-08-22,2
942,2023-08-23,1
943,2023-08-24,1
944,2023-08-26,1
945,2023-08-27,1
946,2023-08-30,1
947,2023-08-31,1
948,2023-09-01,1
949,2023-09-02,2
950,2023-09-04,1
951,2023-09-05,2
952,2023-09-06,1
953,2023-09-07,1
954,2023-09-08,0
955,2023-09-09,2
956,2023-09-12,2
957,2023-09-13,2
958,2023-09-14,1
959,2023-09-15,2
960,2023-09-17,1
961,2023-09-18,2
962,2023-09-19,1
963,2023-09-20,1
964,2023-09-21,0
965,2023-09-22,1
966,2023-09-24,1
967,2023-09-25,1
968,2023-09-26,1
969,2023-09-28,1
970,2023-09-29,0
973,2023-09-30,2
